(269, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, '1', None, None, None, None, '1', '1', None, '1', '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, '0', None, '1', None, None, None, None, None, None, None, None, '1', '1', None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, '1', '1')
(271, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, '1', None, '1', '1', None, None, None, None, '0', None, None, None, '1', '1', None, None, None, None, None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '0', None, '1', None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, '0', None, None, None, None, None, None, None, None, None, None, '1', None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None)
(272, '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, '0', None, None, '1', None, None, '0', None, None, None, None, '1', None, None, None, '1', '0', None, '0', None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, '1', '1', '0', None, None, None, None)
(274, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, '1', None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, '1', None, '1', None, '1', None, None, '1', '0', None, None, None, '1', None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, None, '0', None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None)
(275, None, None, None, None, '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, '0', None, None, None, '1', None, None, None, '0', None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, '1', '1', None, None, '1', None, None, '1', None, None, None, None, None, '0', None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, None, None)
(276, None, None, None, None, None, None, None, None, None, None, None, None, '1', '1', None, None, None, None, None, None, None, None, None, '1', None, '1', None, '1', None, None, '1', None, None, None, None, None, None, '0', None, None, None, None, None, None, None, None, None, '1', '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, None, None, '1', '1', None, None, None, None, None, None, None, None, None, None, None, None, None, '1', '0', None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None)
(277, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '0', None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, '1', '1', None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, None, None, '1', None, None, None, '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, '0', '0', None, None, None, None, '0', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', '1', None)
(278, None, None, None, None, None, None, None, '1', None, None, '1', None, None, '0', None, '1', None, None, None, None, None, '1', None, None, None, None, None, None, '1', '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, None, '0', None, None, None, None, '1', None, None, '0', '1', None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, '0', None, None, None, '0', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
(279, None, None, None, '1', None, None, None, '1', None, None, None, None, None, None, None, None, '1', '1', '1', '1', None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, '0', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, '1', '1', None, '1', '1', None, None, None, None, None, None, None, '1', '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
(280, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, '0', None, None, None, None, None, None, None, None, None, '1', '1', None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, '1', None, None, '1', '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, '1', None, None, None, None, None)
